AnoMês,Dt. Leitura,Instalação,Cód. PN,Parceiro de negócio,Número do CNPJ,Recebedor alternativo,Nº de contrato,Titular do contrato,Categoria tarifa,Desc. Categoria tarifa,Fase,"Tp Cli (BT,MT,AT)",Lote de Leitura,Dt. Vencimento,Classe,Desc. Classe,Município,Bairro,Rua,Nº,CEP,Energia Faturada Ponta,Receita Energia Faturada Ponta,Energia Faturada Fora Ponta,Receita Energia Faturada Fora Ponta,Demanda Faturada Ponta,Receita Demanda Faturada Ponta,Demanda Faturada Fora Ponta,Receita Demanda Faturada Fora Ponta,Demanda Registrada Ponta,Receita Demanda Registrada Ponta,Demanda Registrada F.Ponta,Receita Demanda Registrada F.Ponta,Demanda Contratada Ponta,Receita Demanda Contratada Ponta,Demanda Contratada F.Ponta,Receita Demanda Contratada F.Ponta,Demanda Ultrapassagem Ponta,Receita Demanda Ultrapassagem Ponta,Demanda Ultrapassagem Fora Ponta,Receita Demanda Ultrapassagem Fora Ponta,Importe UFER Ponta,Receita Importe UFER Ponta,Importe UFER Fora Ponta,Receita Importe UFER Fora Ponta,Importe UFDR,Receita Importe UFDR,Receita Total,Juros Atraso Pagamento,IGPM,Multa Atraso Pagamento,CIP,COFINS,PIS,ICMS,Parcelamentos,Cust. Disp. MMGD,Res. 77,Desconto AES,Energia Comp. MMGD,Receita Energia Comp. MMGD,Energia Injet. MMGD,"Imp. Ret, Fonte",TUS Geração,Créditos,OUTROS VALORES
202501,24/01/2025,18543,152128000,INSTITUTO CAPIXABA DE PESQUISA  ASSISTE,27273416000130,,500760441,INSTITUTO CAPIXABA D,B3,Categoria Demais Classes B3,Trifásico,BT,46,03/03/2025,520,PODER PUBLICO - ESTADUAL,CACHOEIRO DE ITAPEMIRIM,INDEPENDENCIA,RUA DOM FERNANDO,39,29306-350,"716,000","490,080",,,,,,,,,,,,,,,,,,,,,,,,,"134,550",,,,"64,730","1,820","0,400",,,,,,-616 KWH,"-421,63",-616 KWH,"-0,85",,,"0,000"
202412,27/01/2025,22931,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,400229318,,B3,Categoria Demais Classes B3,Trifásico,BT,47,25/02/2025,520,PODER PUBLICO - ESTADUAL,RIO NOVO DO SUL,CENTRO,RUA CAP BLEY,7,29290-000,"710,000","485,970",,,,,,,,,,,,,,,,,,,,,,,,,"586,100",,,,"90,350","12,990","2,810",,,,,,,,,"-6,020",,,"0,000"
202412,14/01/2025,23445,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,400234451,,B3,Categoria Demais Classes B3,Bifásico,BT,38,25/02/2025,520,PODER PUBLICO - ESTADUAL,IBIRACU,CAMPAGNARO,AV CONDE DE EU,344,29670-000,"387,000","264,890",,,,,,,,,,,,,,,,,,,,,,,,,"270,220",,,,,"7,080","1,530",,,,,,,,,"-3,280",,,"0,000"
202412,14/01/2025,23446,152128000,INSTITUTO CAPIXABA DE PESQUISA  ASSISTE,27273416000130,,501762166,INSTITUTO CAPIXABA D,B3,Categoria Demais Classes B3,Bifásico,BT,38,19/02/2025,520,PODER PUBLICO - ESTADUAL,IBIRACU,CAMPAGNARO,AV CONDE DE EU,344,29670-000,"963,000","659,140",,,,,,,,,,,,,,,,,,,,,,,,,"694,160","6,650",,"12,420",,"17,630","3,820",,,,,,,,,"-8,440",,,"2,940"
202412,27/01/2025,39995,152125100,POLICIA CIVIL,27470897000173,,502399570,,B3REATEF,Baixa Reativa Eficiência,Trifásico,BT,47,03/03/2025,520,PODER PUBLICO - ESTADUAL,VILA VELHA,COBILANDIA,ROD CARLOS LINDENBERG,2317,29111-165,"2.900,000","1.984,960",,,,,,,,,,,,,,,,,,,,,,,,,"2.078,460",,,,"53,530","53,080","11,480",,,,,,,,,"-24,590",,,"0,000"
202412,22/01/2025,50433,152122960,SECRETARIA DE ESTADO DA CIENCIA  TECNOL,06656711000103,"SEC EST CIENCIA,TECNOLOGIA, INOVAÇÃO",502152029,,B3,Categoria Demais Classes B3,Trifásico,BT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,VARGEM ALTA,BOA ESPERANCA,RUA CICERO DO CARMO BAPTISTA,1SN,29295-000,"187,000","128,000",,,,,,,,,,,,,,,,,,,,,,,,,"162,580",,,,"32,000","3,430","0,740",,,,,,,,,"-1,590",,,"0,000"
202412,28/01/2025,83688,152120400,DEPARTAMENTO ESTADUAL DE TRANSITO DO ES,28162105000166,,500405793,,B3,Categoria Demais Classes B3,Bifásico,BT,48,03/03/2025,520,PODER PUBLICO - ESTADUAL,AGUA DOCE DO NORTE,CENTRO,AV SEBASTIAO COELHO DE SOUZA,1SN,29820-000,"791,000","541,420",,,,,,,,,,,,,,,,,,,,,,,,,"552,320",,,,,"14,480","3,130",,,,,,,,,"-6,710",,,"0,000"
202412,28/01/2025,87893,152120400,DEPARTAMENTO ESTADUAL DE TRANSITO DO ES,28162105000166,,500962873,,B3,Categoria Demais Classes B3,Trifásico,BT,48,03/03/2025,520,PODER PUBLICO - ESTADUAL,AFONSO CLAUDIO,CAMPO VINTE,AV MARFISA DE BARROS LEITE,423,29600-000,"2.149,000","1.470,920",,,,,,,,,,,,,,,,,,,,,,,,,"1.563,940",,,,"63,400","39,340","8,510",,,,,,,,,"-18,230",,,"0,000"
202412,13/01/2025,89969,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,POLICIA MILITAR DO ESTADO DO ESPIRITO,400899691,,B3,Categoria Demais Classes B3,Trifásico,BT,37,05/03/2025,520,PODER PUBLICO - ESTADUAL,IBATIBA,CENTRO,AV MARIO ANDREAZZA,480,29395-000,"100,000","68,450",,,,,,,,,,,,,,,,,,,,,,,,,"89,430",,,,"19,610","1,830","0,390",,,,,,,,,"-0,850",,,"0,000"
202412,09/01/2025,102482,152125100,POLICIA CIVIL,27470897000173,,500783471,,B3,Categoria Demais Classes B3,Trifásico,BT,35,03/03/2025,520,PODER PUBLICO - ESTADUAL,CACHOEIRO DE ITAPEMIRIM,GILBERTO MACHADO,RUA MARIO ROMANELLI,2,29303-260,"1.674,000","1.145,810",,,,,,,,,,,,,,,,,,,,,,,,,"1.272,430",,,,"103,560","30,640","6,620",,,,,,,,,"-14,200",,,"0,000"
202412,21/01/2025,103967,152122000,CORPO DE BOMBEIROS MILITAR DO ESTADO DO,02133636000137,,502572649,,B3,Categoria Demais Classes B3,Trifásico,BT,43,03/03/2025,520,PODER PUBLICO - ESTADUAL,CACHOEIRO DE ITAPEMIRIM,MARBRASA,AV FRANCISCO MARDEGAN,1SN,29313-690,"3.315,000","2.269,020",,,,,,,,,,,,,,,,,,,,,,,,,"1.653,330",,,,"181,230","38,590","8,340",,,,,,-1.354 KWH,,-1.354 KWH,"-17,870",,,"-825,980"
202412,23/01/2025,107629,152126300,INSTITUTO DE DEFESA AGROPECUARIA E FLOR,02254666000100,,401076299,,B3,Categoria Demais Classes B3,Trifásico,BT,45,25/02/2025,520,PODER PUBLICO - ESTADUAL,BARRA DE SAO FRANCISCO,VILA LANDINHA,AV CASTELO BRANCO,401,29800-000,"100,000","68,450",,,,,,,,,,,,,,,,,,,,,,,,,"76,300",,,,"6,480","1,830","0,390",,,,,,,,,"-0,850",,,"0,000"
202412,07/01/2025,129356,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,,502262928,,B3,Categoria Demais Classes B3,Bifásico,BT,33,03/03/2025,520,PODER PUBLICO - ESTADUAL,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,RUA COELHO NETO,1SN,29165-250,"1.808,000","1.237,530",,,,,,,,,,,,,,,,,,,,,,,,,"1.339,920",,,,"77,470","33,090","7,160",,,,,,,,,"-15,330",,,"0,000"
